Tamaño (bits)	Media	Mediana	Mínimo	Máximo	Desviación estándar	Iteraciones media	Tasa éxito
56	0,332661	0,152496	0,121812	0,829047	0,248465	N/A	0,00%
60	0,570305	0,182568	0,147549	2,709187	0,823179	N/A	0,00%
64	0,218677	0,212155	0,192074	0,254855	0,019051	N/A	0,00%
68	2,091848	0,281727	0,262083	18,377574	5,428600	N/A	0,00%
